transaction_id,order_date,total_revenue
10152,2024-05-31,399.98
10153,2024-06-01,164.97
10154,2024-06-02,33.98
10155,2024-06-03,59.0
10156,2024-06-04,299.99
10157,2024-06-05,899.99
10158,2024-06-06,499.95
10159,2024-06-07,99.96
10160,2024-06-08,23.97
10161,2024-06-09,36.0
10162,2024-06-10,69.98
10163,2024-06-11,1199.99
10164,2024-06-12,199.99
10165,2024-06-13,149.95
10166,2024-06-14,35.96
10167,2024-06-15,16.99
10168,2024-06-16,149.97
10169,2024-06-17,699.99
10170,2024-06-18,279.98
10171,2024-06-19,104.97
10172,2024-06-20,19.98
10173,2024-06-21,29.5
10174,2024-06-22,699.99
10175,2024-06-23,149.97
10176,2024-06-24,99.98
10177,2024-06-25,59.6
10178,2024-06-26,35.97
10179,2024-06-27,68.0
10180,2024-06-28,146.0
10181,2024-06-29,649.99
10182,2024-06-30,399.99
10183,2024-07-01,179.97
10184,2024-07-02,25.98
10185,2024-07-03,190.0
10186,2024-07-04,499.95
10187,2024-07-05,399.0
10188,2024-07-06,398.0
10189,2024-07-07,139.96
10190,2024-07-08,32.97
10191,2024-07-09,18.0
10192,2024-07-10,169.95
10193,2024-07-11,199.99
10194,2024-07-12,199.95
10195,2024-07-13,359.98
10196,2024-07-14,23.98
10197,2024-07-15,125.0
10198,2024-07-16,449.99
10199,2024-07-17,358.0
10200,2024-07-18,99.95
10201,2024-07-19,179.97
10202,2024-07-20,29.98
10203,2024-07-21,52.0
10204,2024-07-22,399.99
10205,2024-07-23,299.99
10206,2024-07-24,379.99
10207,2024-07-25,196.0
10208,2024-07-26,50.97
10209,2024-07-27,79.0
10210,2024-07-28,129.0
10211,2024-07-29,749.99
10212,2024-07-30,339.98
10213,2024-07-31,39.6
10214,2024-08-01,32.97
10215,2024-08-02,58.0
10216,2024-08-03,349.99
10217,2024-08-04,2399.0
10218,2024-08-05,449.99
10219,2024-08-06,149.97
10220,2024-08-07,25.98
10221,2024-08-08,27.0
10222,2024-08-09,599.99
10223,2024-08-10,199.96
10224,2024-08-11,459.98
10225,2024-08-12,89.98
10226,2024-08-13,80.97
10227,2024-08-14,6.7
10228,2024-08-15,299.9
10229,2024-08-16,169.0
10230,2024-08-17,599.0
10231,2024-08-18,259.96
10232,2024-08-19,19.98
10233,2024-08-20,24.0
10234,2024-08-21,98.85
10235,2024-08-22,299.0
10236,2024-08-23,159.99
10237,2024-08-24,270.0
10238,2024-08-25,32.97
10239,2024-08-26,55.0
10240,2024-08-27,59.98
